[2023-01-10 18:37:05.386] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.399] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.403] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.416] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.431] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.434] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.449] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.459] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.467] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.476] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.488] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.497] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
[2023-01-10 18:37:05.504] [pxr_streamer] [debug] runtime_wireless_mode_sender.cpp:128 OnCapturedAudioSend: data_len = 1920, this = 0x6a0fbf70
